	3
93RD AVENUE	3
93RD ST	2
93RD STREET	2
94 AVENUE	37
94 ROAD	5
94 STREET	515
94TH ROAD	1
94TH ST	2
94TH STREET	14
95 AVENUE	158
95 STREET	349
95TH AVE	1
95TH AVENUE	3
95TH ST	2
95TH STREET	1
96 PLACE	4
96 STREET	200
96TH STREET	5
97 AVENUE	151
97 PLACE	121
97 STREET	717
97TH AVENUE	7
97TH ST	2
97TH STREET	18
98 PLACE	26
98 STREET	415
98TH PL	2
98TH ST	3
98TH STREET	1
99 AVENUE	72
99 PLACE	21
99 STREET	346
99TH PL	2
99TH ST	2
99TH STREET	21
9TH AVE	5
9TH AVENUE	20
9TH STREET	8
A BAY 48 STREET	2
A FAY COURT	3
A FLATBUSH AVENUE	3
A HOLT COURT	9
A IDE COURT	5
A POND WAY	2
AARON LANE	5
ABBEY COURT	13
ABERDEEN ROAD	2
ABERDEEN STREET	110
ABINGDON AVENUE	33
ABINGDON RD	1
ABINGDON ROAD	4
ACACIA AVENUE	1
ACADEMY PLACE	3
ACADEMY ST	2
ACADEMY STREET	630
ACKERMAN STREET	7
ACORN STREET	2
ACP BOULEVARD	2
ADA DRIVE	305
ADAIR STREET	1
ADAM C POWELL BLVD	3709
ADAM C POWELL BOULEV	12
ADAM C POWELL BOULEVARD	312
ADAM CLAYTON POWELL	2
ADAM CLAYTON POWELL BLVD	2
ADAM CLAYTON POWELL BOULEVARD	113
ADAM CLAYTON POWELL JR BLVD	3
ADAM CLAYTON POWELL JR BOULEVARD	81
ADAMS AVE	2
ADAMS AVENUE	32
ADAMS PLACE	340
ADAMS STREET	339
ADEE AVE	2
ADEE AVENUE	351
ADELAIDE AVENUE	8
ADELAIDE ROAD	2
ADELE COURT	8
ADELPHI ST	3
ADELPHI STREET	283
ADLER PLACE	56
ADLERS LANE	1
ADMIRAL AVENUE	38
ADMIRAL COURT	2
ADMIRAL LANE	1
ADMIRALTY LOOP	1
ADRIAN AVE	3
ADRIAN AVENUE	90
ADRIANNE LANE	1
ADRIENNE PLACE	1
AGAR PLACE	38
AGATE COURT	52
AGDA STREET	1
AGNES PLACE	1
AGUILAR AVENUE	1
AINSLIE STREET	47
AINSWORTH AVENUE	9
AITKEN PLACE	2
AKRON STREET	5
ALABAMA AVENUE	531
ALAMEDA AVENUE	9
ALAN PLACE	4
ALAN STREET	5
ALASKA STREET	137
ALBAN STREET	7
ALBANY AVE	1
ALBANY AVENUE	789
ALBANY CRESCENT	143
ALBANY ST	1
