10001, 10003, 10010, 10011, 10013, 10016, 10017, 10018, 10019, 10020, 10022, 10036, 10065, 10103, 10111, 10112	1
10001, 10003, 10010, 10011, 10014	1
10001, 10003, 10010, 10011, 10014, 10018, 10019, 10038	1
10001, 10003, 10010, 10011, 10016	2
10001, 10003, 10010, 10011, 10016, 10017, 10018	1
10001, 10003, 10010, 10011, 10016, 10017, 10021, 10028, 10065, 10075	1
10001, 10003, 10010, 10011, 10016, 10017, 10167, 10171, 10172, 10177	1
10001, 10003, 10010, 10011, 10016, 10019, 10020, 10036, 10111, 10112, 10119	1
10001, 10003, 10010, 10011, 10016, 10118	1
10001, 10003, 10010, 10011, 10016, 11201	1
10001, 10003, 10010, 10011, 10018	1
10001, 10003, 10010, 10013, 10016, 10019, 10036	1
10001, 10003, 10010, 10018, 10019, 10036	1
10001, 10003, 10010, 10121	1
10001, 10003, 10011	3
10001, 10003, 10011, 10012, 10019, 10022	1
10001, 10003, 10011, 10013, 10014, 10016, 10019	1
10001, 10003, 10011, 10013, 10014, 10017, 11201	1
10001, 10003, 10011, 10014	2
10001, 10003, 10011, 10014, 10018	1
10001, 10003, 10011, 10014, 10022	1
10001, 10003, 10011, 10016	1
10001, 10003, 10011, 10018	2
10001, 10003, 10012	1
10001, 10003, 10012, 10013, 10014	1
10001, 10003, 10012, 10013, 10280	1
10001, 10003, 10012, 10014	1
10001, 10003, 10013, 10018, 10039	1
10001, 10003, 10014	1
10001, 10003, 10016	1
10001, 10003, 10018	3
10001, 10003, 10018, 10123	1
10001, 10004, 10005, 10007, 10018, 10019, 10020, 10036, 10038, 10045, 10105, 10119	1
10001, 10004, 10005, 10011, 10038	1
10001, 10004, 10005, 10014	1
10001, 10004, 10005, 10038, 10280, 10281, 10282	1
10001, 10004, 10010, 10016	1
10001, 10004, 10011, 10014	1
10001, 10004, 10013, 10017, 10036, 10121, 10280, 10282	1
10001, 10004, 10017, 11238	1
10001, 10004, 10018, 10280, 10282	1
10001, 10005, 10007, 10011, 10013, 10018, 10022, 10036, 10038, 11232	1
10001, 10005, 10018, 10027, 10029	1
10001, 10006, 10036	1
10001, 10007, 10011, 10013, 10014	1
10001, 10007, 10011, 10013, 10014, 10018, 10019, 10023, 10280, 10281, 10282	1
10001, 10007, 10011, 10013, 10014, 10018, 10019, 10280, 10281, 10282	2
10001, 10007, 10011, 10038	1
10001, 10007, 10012, 10013	1
10001, 10007, 10013	1
10001, 10007, 10013, 10016, 10018	1
10001, 10007, 10013, 10018	1
10001, 10009, 10019	1
10001, 10010	45
10001, 10010, 10011	7
10001, 10010, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036	1
10001, 10010, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036, 10119	2
10001, 10010, 10011, 10012, 10013, 10018, 10019, 10020, 10036	1
10001, 10010, 10011, 10012, 10014, 10018, 10019, 10020, 10036	1
10001, 10010, 10011, 10012, 10014, 10018, 10019, 10020, 10036, 10105, 10119	5
10001, 10010, 10011, 10013, 10014, 10018, 10019, 10020, 10023, 10036, 10119	1
10001, 10010, 10011, 10013, 10014, 10018, 10019, 10020, 10036, 10119	1
10001, 10010, 10011, 10014, 10018, 10019, 10020, 10036	4
10001, 10010, 10011, 10016	1
10001, 10010, 10011, 10016, 10017, 10018, 10019, 10020, 10021, 10022, 10036, 10065, 10119	1
